player,action,x,y
Yusuf  Rauf,Successful Shot Pass,26,46
Alade Solomon,Loss,76,20
Waliu Ojetoye,Aerial Duel Won,31,19
Falcao Falcao,Foul Received,38,19
Harrison Uzondu,Successful Shot Pass,19,89
Farouq Farouq,Loss,84,86
Harrison Uzondu,Cross successful,76,94
Falcao Falcao,Successful Progressive Pass,78,37
Yusuf  Rauf,Unsuccessful Progressive Pass,21,47
Harrison Uzondu,Successful Shot Pass,55,91
Ngenge  Leonard,Ground Duel Won,33,74
Timothy Timothy,Intervention,66,81
Farouq Farouq,Unsuccessful Key Pass,64,57
Yusuf  Rauf,Intervention,12,54
Tosin Oyedekun,Recovery,60,79
Farouq Farouq,Unsuccessful Shot Pass,94,88
Kelechi Onwe,Recovery,37,95
Ngenge  Leonard,Loss,30,96
Timothy Timothy,Recovery,6,95
Falcao Falcao,Foul Received,59,45
Tosin Oyedekun,Foul Received,37,22
Tosin Oyedekun,Successful Shot Pass,36,16
Farouq Farouq,Successful Progressive Pass,47,56
Harrison Uzondu,Loss,67,79
Ngenge  Leonard,Intervention,25,63
Yusuf  Rauf,Intervention,2,22
Yusuf  Rauf,Successful Shot Pass,11,42
Harrison Uzondu,Successful Progressive Pass,42,59
Farouq Farouq,Successful Progressive Pass,69,67
Alade Solomon,Foul Committed,90,46
Timothy Timothy,Cross unsuccessful,91,86
Harrison Uzondu,Aerial Duel Lost,32,54
Kelechi Onwe,Foul Received,62,24
Alade Solomon,Foul Committed,62,11
Falcao Falcao,Ground Duel Lost,38,4
Kelechi Onwe,Intervention,9,37
Falcao Falcao,Cross unsuccessful,90,19
Tosin Oyedekun,Successful Progressive Pass,72,5
Waliu Ojetoye,Dribble successful,96,75
Ngenge  Leonard,Aerial Duel Won,51,63
Prestige Chibuike,Foul Received,38,41
Tosin Oyedekun,Successful Progressive Pass,35,81
Waliu Ojetoye,Successful Progressive Pass,42,11
Ngenge  Leonard,Aerial Duel Won,30,54
Harrison Uzondu,Recovery,6,88
Farouq Farouq,Aerial Duel Lost,35,69
Ngenge  Leonard,Intervention,10,74
Kelechi Onwe,Recovery,17,78
Kelechi Onwe,Successful Progressive Pass,36,52
Ngenge  Leonard,Aerial Duel Lost,12,59
Farouq Farouq,Loss,56,41
Yusuf  Rauf,Intervention,5,53
Waliu Ojetoye,Successful Shot Pass,44,10
Falcao Falcao,Foul Received,56,41
Kelechi Onwe,Successful Progressive Pass,54,47
Harrison Uzondu,Unsuccessful Progressive Pass,70,25
Tosin Oyedekun,Unsuccessful Progressive Pass,83,29
Harrison Uzondu,Shot off target,74,41
Yusuf  Rauf,Intervention,26,55
Harrison Uzondu,Unsuccessful Progressive Pass,32,92
Tosin Oyedekun,Successful Shot Pass,54,62
Falcao Falcao,Dribble successful,26,28
Falcao Falcao,Dribble successful,30,31
Tosin Oyedekun,Chance Set Piece,82,51
Harrison Uzondu,Successful Key Pass,76,88
Waliu Ojetoye,Intervention,18,15
Harrison Uzondu,Intervention,6,61
Harrison Uzondu,Recovery,4,65
Alade Solomon,Foul Received,57,47
Kelechi Onwe,Foul Received,58,30
Ngenge  Leonard,Dribble successful,31,77
Tosin Oyedekun,Successful Progressive Pass,35,6
Waliu Ojetoye,Foul Received,55,4
Tosin Oyedekun,Successful Progressive Pass,47,15
Kelechi Onwe,Foul Received,56,76
Waliu Ojetoye,Chance Direct Play,84,44
Waliu Ojetoye,Goal Direct Play,83,48
Farouq Farouq,Recovery,74,5
Harrison Uzondu,Intervention,21,74
Yusuf  Rauf,Shot Against,12,29
Kelechi Onwe,Foul Received,42,59
Waliu Ojetoye,Dribble successful,56,2
Tosin Oyedekun,Ground Duel Lost,28,4
Yusuf  Rauf,Intervention,2,67
Farouq Farouq,Aerial Duel Lost,59,9
Yusuf  Rauf,Successful Shot Pass,7,54
Kelechi Onwe,Successful Progressive Pass,23,41
Tosin Oyedekun,Successful Progressive Pass,36,25
Waliu Ojetoye,Dribble successful,85,14
Waliu Ojetoye,Dribble unsuccessful,86,16
Tosin Oyedekun,Cross unsuccessful,71,12
Harrison Uzondu,Recovery,79,75
Harrison Uzondu,Recovery,79,75
Harrison Uzondu,Shot off target,79,66
Kelechi Onwe,Intervention,64,69
Yusuf  Rauf,Successful Progressive Pass,4,65
Waliu Ojetoye,Loss,24,1
Ngenge  Leonard,Intervention,19,14
Waliu Ojetoye,Intervention,7,20
Farouq Farouq,Loss,39,33
Yusuf  Rauf,Shot Against,25,70
Prestige Chibuike,Aerial Duel Won,39,33
Tosin Oyedekun,Successful Progressive Pass,0,23
Farouq Farouq,Successful Progressive Pass,65,6
Waliu Ojetoye,Dribble successful,86,23
Waliu Ojetoye,Dribble successful,86,23
Yusuf  Rauf,Save,2,42
Yusuf  Rauf,Save,2,42
Yusuf  Rauf,Shot Against,22,56
Harrison Uzondu,Successful Shot Pass,74,91
Farouq Farouq,Successful Key Pass,74,66
Tosin Oyedekun,Shot off target,82,49
